severity,affected_population,disaster_type,rainfall_mm,road_blockage_percent,medical_need_level,elderly_population,infrastructure_damage_level,rescue_team_availability,area_size_km2,hospital_distance_km,response_time_target_min,teams_required,ambulances_required,food_packets_required,medical_kits_required
2,214,OTHER,82.5,22.3,2,39,9,6,59.3,2.6,15,27,4,555,19
4,1915,CYCLONE,180.6,56.1,9,256,8,38,28.2,43.6,30,236,35,4828,81
7,2797,FIRE,46.6,95.7,6,197,7,7,36.2,17.9,45,381,28,7062,99
1,3773,CYCLONE,37.4,92.2,2,605,10,24,57.9,35.5,15,142,32,9442,122
4,2380,FLOOD,256.6,86.6,7,251,6,11,37.3,11.3,45,229,31,5990,88
2,5000,OTHER,51.3,72.9,3,712,5,41,69.0,11.8,45,182,28,12520,154
1,1886,FLOOD,241.5,40.1,2,173,10,46,31.8,33.1,60,70,19,4725,68
8,1180,FIRE,41.9,74.5,9,121,10,28,89.8,20.6,30,201,27,3030,62
3,4184,LANDSLIDE,27.3,4.7,2,337,3,44,42.5,4.1,60,302,32,10490,127
10,3844,CYCLONE,75.4,55.3,1,715,2,44,88.5,37.8,45,1037,37,9710,114
2,2414,LANDSLIDE,47.4,0.3,5,589,3,33,91.3,43.7,45,121,22,6055,82
9,4998,EARTHQUAKE,45.9,76.3,9,1203,9,1,60.1,24.9,15,1159,69,12585,170
6,2529,EARTHQUAKE,17.4,87.8,2,169,8,5,97.8,27.1,30,412,24,6382,84
3,3903,CYCLONE,49.5,52.8,10,525,4,35,75.6,34.8,45,331,45,9788,136
7,3069,LANDSLIDE,269.9,45.1,4,291,6,2,59.0,12.3,30,522,39,7742,102
1,591,OTHER,189.3,22.9,1,131,2,33,24.2,33.8,30,15,7,1488,21
9,1093,OTHER,280.7,57.1,8,107,8,27,19.4,5.7,60,184,29,2822,55
6,3479,LANDSLIDE,140.1,72.9,2,216,6,7,25.2,10.3,60,511,32,8758,109
3,3466,EARTHQUAKE,83.6,25.0,2,480,9,7,5.5,50.0,15,289,31,8695,112
2,1946,EARTHQUAKE,121.9,48.1,7,448,3,25,0.7,20.1,60,111,24,4885,73
5,3475,OTHER,287.2,99.5,9,633,8,10,19.4,11.7,15,312,34,8738,125
10,4451,FLOOD,224.4,5.7,10,646,9,11,6.2,25.9,30,988,67,11228,156
2,4884,FLOOD,202.6,23.5,2,1163,10,16,58.1,2.9,15,240,38,12230,154
7,4791,CYCLONE,156.8,93.5,4,881,6,16,26.9,7.4,45,923,55,12048,151
8,2600,FLOOD,2.8,62.1,10,647,2,35,21.7,14.0,45,461,43,6580,96
2,2011,FIRE,85.5,43.8,9,383,10,42,53.1,33.7,45,99,18,5048,85
2,1110,FIRE,34.6,10.7,9,90,5,39,21.5,17.8,45,52,12,2795,55
9,4012,FIRE,271.6,84.6,2,709,5,3,0.9,38.8,45,679,33,10120,124
3,3629,CYCLONE,211.7,56.1,2,236,3,35,4.1,19.1,30,306,38,9102,111
7,1054,FLOOD,92.5,89.9,1,242,4,44,25.3,6.0,60,178,12,2705,36
10,1276,EARTHQUAKE,259.4,97.6,3,288,1,12,73.8,17.3,60,332,29,3290,43
4,2195,EARTHQUAKE,236.2,10.8,1,486,4,13,81.8,23.6,45,233,25,5528,69
4,1836,FLOOD,198.0,39.8,5,409,5,23,64.3,20.6,45,176,24,4630,67
1,954,FIRE,53.6,96.3,5,54,10,28,34.9,39.5,60,47,8,2395,47
10,4199,FLOOD,115.6,57.7,5,247,7,1,52.2,40.5,30,933,47,10598,137
6,3543,FLOOD,284.7,92.1,10,399,2,47,90.1,25.8,60,474,50,8918,123
6,3306,OTHER,88.7,12.7,7,604,7,44,74.9,9.5,45,345,29,8325,115
7,4498,FLOOD,91.2,21.0,10,770,6,30,44.5,34.1,60,700,54,11315,155
3,704,FIRE,154.6,63.3,6,48,4,44,31.4,40.5,30,52,12,1790,36
1,388,EARTHQUAKE,295.2,61.1,2,54,10,13,72.0,19.8,60,46,13,980,25
4,1218,OTHER,206.3,89.3,2,250,4,12,80.5,35.1,60,95,12,3085,43
1,4576,EARTHQUAKE,275.2,12.1,3,962,9,36,59.7,47.6,60,143,44,11450,146
10,4145,LANDSLIDE,249.2,54.8,3,823,8,29,26.3,13.1,45,995,46,10462,132
9,3979,OTHER,71.8,44.0,5,385,6,21,89.4,4.9,30,612,33,10038,130
4,3147,OTHER,45.8,21.4,7,413,9,30,41.9,11.1,60,229,24,7908,113
7,4794,OTHER,5.9,88.1,10,604,1,23,30.2,20.1,60,567,42,12055,158
9,4483,CYCLONE,269.3,48.8,5,614,1,25,33.9,34.3,60,1084,62,11298,139
3,3838,EARTHQUAKE,294.2,53.4,7,646,1,6,64.5,7.6,60,296,45,9625,125
3,421,FIRE,113.7,21.2,6,49,7,18,75.3,41.8,45,40,10,1082,31
2,3862,FLOOD,224.7,5.2,6,366,2,50,95.7,3.0,15,173,35,9675,124
4,1643,FLOOD,186.4,23.9,8,302,10,14,46.8,13.6,45,170,26,4148,73
3,4973,CYCLONE,289.1,71.8,3,1208,2,38,3.1,16.3,60,412,53,12462,150
7,1634,FLOOD,177.6,83.1,4,115,5,44,60.2,6.9,15,268,24,4155,60
6,4374,LANDSLIDE,198.5,6.9,6,229,7,32,11.0,48.1,60,633,49,10995,144
3,3577,EARTHQUAKE,220.1,96.5,5,619,9,50,48.6,22.3,45,305,39,8972,121
6,2021,FLOOD,83.7,45.1,8,331,7,22,3.4,42.7,30,285,31,5112,81
8,1747,FIRE,239.3,34.0,10,332,5,36,1.5,47.5,15,270,37,4448,75
4,3339,LANDSLIDE,166.6,24.0,8,598,8,29,79.4,5.6,30,336,39,8388,119
7,2003,FIRE,199.2,36.9,9,312,7,48,55.3,18.2,60,275,33,5078,82
5,2521,FIRE,69.2,72.1,6,186,9,49,69.2,10.4,60,256,24,6352,93
5,4839,CYCLONE,179.0,98.1,4,528,6,12,30.6,35.7,30,675,52,12148,152
5,382,FLOOD,166.0,69.7,3,67,8,7,87.3,29.1,60,68,12,1005,25
8,3618,FIRE,55.3,5.1,8,263,2,26,49.4,29.3,15,535,39,9125,121
3,1232,CYCLONE,284.7,8.5,4,90,7,39,59.8,31.3,60,122,24,3110,50
8,3636,FIRE,258.0,99.0,5,595,1,40,96.0,5.9,30,543,37,9170,115
4,2177,OTHER,24.4,24.0,9,141,1,27,45.3,30.1,45,149,20,5482,81
1,1906,FIRE,212.1,70.3,8,122,4,17,78.9,31.6,30,49,17,4775,74
7,950,CYCLONE,67.4,14.9,5,204,2,4,17.0,16.1,45,185,24,2445,39
8,1028,LANDSLIDE,206.6,70.0,5,154,8,29,8.5,3.0,60,221,27,2650,47
6,4955,FIRE,7.8,22.9,10,829,1,49,67.4,14.2,15,549,44,12448,163
3,3864,CYCLONE,195.5,91.6,3,963,7,41,81.5,48.5,60,341,41,9690,123
6,3355,FIRE,96.3,10.5,3,389,8,19,66.4,20.6,15,387,26,8448,110
8,731,FIRE,75.7,11.6,7,162,1,43,87.0,23.6,15,110,21,1908,36
4,4257,FIRE,186.8,49.8,8,859,4,18,55.1,46.5,60,325,36,10682,142
8,1004,FLOOD,291.9,60.9,4,192,5,36,1.9,21.0,30,192,25,2590,42
2,3790,FLOOD,194.3,15.4,5,575,5,27,83.6,49.0,30,179,33,9495,123
8,4525,EARTHQUAKE,115.1,92.2,9,901,3,5,28.0,39.7,60,923,64,11392,150
6,4169,FIRE,246.2,28.3,5,906,10,43,49.2,8.3,60,483,37,10482,139
6,2733,CYCLONE,228.9,37.7,6,611,4,37,38.6,42.9,60,454,44,6892,94
1,2616,OTHER,141.9,91.3,7,332,3,32,96.5,7.2,45,56,18,6550,92
2,3616,FLOOD,157.8,45.7,3,477,3,5,47.2,48.5,45,168,30,9060,112
10,3266,OTHER,24.1,32.9,9,411,6,41,72.0,38.2,15,559,39,8265,117
10,570,EARTHQUAKE,189.3,92.1,4,113,7,7,76.2,35.5,15,173,25,1525,31
8,1372,OTHER,89.8,2.9,6,287,5,23,37.8,8.1,60,193,21,3510,56
10,1485,EARTHQUAKE,52.5,60.9,7,258,4,32,91.3,8.0,60,389,39,3812,60
5,3774,FIRE,200.1,89.9,8,868,9,11,7.8,47.3,45,372,36,9485,133
7,2058,LANDSLIDE,253.6,19.9,7,454,2,16,38.4,18.6,45,344,39,5215,75
5,189,OTHER,118.7,0.8,1,43,8,19,77.7,12.3,45,32,5,522,15
4,1567,CYCLONE,75.2,75.6,3,275,1,20,79.0,2.6,45,178,20,3958,52
3,748,FIRE,98.0,41.6,4,57,9,24,53.3,45.8,30,64,10,1900,38
5,3957,FIRE,224.0,33.9,2,568,2,10,75.5,12.1,60,370,29,9942,119
9,3006,FLOOD,237.2,1.4,9,224,6,44,75.0,13.8,60,602,52,7605,110
6,897,OTHER,70.1,2.5,9,103,10,15,64.9,32.1,60,110,19,2302,54
5,3354,FLOOD,41.9,94.6,5,835,2,7,23.9,27.3,60,377,31,8435,108
8,3049,OTHER,284.8,69.6,9,408,3,27,65.7,41.9,60,417,39,7702,108
5,278,OTHER,111.2,44.3,4,61,2,44,37.0,45.2,45,30,9,745,18
1,3271,FIRE,56.9,12.2,8,223,4,42,64.1,48.6,15,70,21,8188,113
6,2005,EARTHQUAKE,236.1,20.5,9,183,4,15,33.2,8.2,15,315,42,5072,79
5,1195,EARTHQUAKE,162.1,79.9,2,217,1,9,2.0,39.7,30,160,18,3038,39
10,2662,FLOOD,52.3,5.2,7,413,2,31,45.1,18.7,15,582,41,6755,92
8,4137,EARTHQUAKE,283.6,4.3,9,456,1,4,99.9,42.5,60,831,67,10422,137
2,4026,OTHER,272.9,7.3,2,460,3,5,13.1,31.6,45,141,27,10085,122
7,4903,CYCLONE,88.5,50.6,7,342,2,42,65.3,38.7,30,927,62,12328,156
7,3709,EARTHQUAKE,124.1,82.7,7,494,2,21,43.0,33.6,45,663,50,9342,122
3,3895,FLOOD,27.4,8.5,7,269,6,9,55.9,29.7,45,270,33,9768,131
2,3375,FIRE,262.1,94.1,7,754,1,19,60.2,18.2,30,133,28,8458,111
3,3960,EARTHQUAKE,254.2,35.0,9,489,5,37,23.0,22.0,15,316,47,9930,136
10,2200,FLOOD,54.1,70.3,5,515,6,1,18.5,8.0,60,498,32,5600,79
2,1172,OTHER,190.0,3.1,9,109,7,30,34.4,19.1,45,53,14,2950,58
10,4894,FLOOD,265.0,15.6,10,293,2,18,44.6,21.8,60,1067,71,12335,162
7,2247,EARTHQUAKE,226.5,11.4,7,162,10,32,52.9,16.1,30,424,42,5688,88
7,4919,FLOOD,2.3,30.1,4,1000,5,19,33.1,1.4,60,762,41,12368,154
3,1068,LANDSLIDE,159.8,23.0,9,231,6,5,40.0,37.4,60,94,21,2700,55
1,3776,FLOOD,258.6,57.6,10,494,7,19,12.0,2.0,45,105,35,9450,135
3,3779,OTHER,275.9,8.8,2,372,10,26,52.6,20.4,45,210,26,9478,122
6,1825,FIRE,233.7,7.6,2,284,4,50,35.3,36.6,30,210,18,4622,60
4,852,EARTHQUAKE,76.8,17.3,3,172,2,12,95.2,31.8,60,93,13,2170,32
10,4757,LANDSLIDE,204.3,88.2,10,545,6,10,44.3,24.0,45,1135,74,11992,162
